name	link	movie_title	num_votes	num_comments	mbti
Ice King	https://www.personality-database.com/profile/1262/ice-king-adventure-time-2010-mbti-personality-type	Adventure Time (2010)	1.2k	113	ENFP
Courtney	https://www.personality-database.com/profile/8581/courtney-total-drama-2007-mbti-personality-type	Total Drama (2007)	1.3k	79	ESTJ
Connie Maheswaran	https://www.personality-database.com/profile/1590/connie-maheswaran-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	920	125	ISFJ
Glimmer	https://www.personality-database.com/profile/25088/glimmer-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	1.1k	52	ISFP
Sunset Shimmer	https://www.personality-database.com/profile/2604/sunset-shimmer-my-little-pony-friendship-is-magic-2010-mbti-personality-type	My Little Pony: Friendship Is Magic (2010)	1k	66	ENTJ
Snufkin	https://www.personality-database.com/profile/33803/snufkin-moomins-mbti-personality-type	Moomins	846	122	ISFP
Alan Keane	https://www.personality-database.com/profile/43348/alan-keane-the-amazing-world-of-gumball-2011-mbti-personality-type	The Amazing World of Gumball (2011)	770	85	ENFJ
Ruby Rose	https://www.personality-database.com/profile/2651/ruby-rose-rwby-2012-mbti-personality-type	RWBY (2012)	703	120	INFP
Owen	https://www.personality-database.com/profile/8594/owen-total-drama-2007-mbti-personality-type	Total Drama (2007)	528	31	ESFP
Courage	https://www.personality-database.com/profile/21446/courage-courage-the-cowardly-dog-1999-mbti-personality-type	Courage the Cowardly Dog (1999)	754	70	INFP
Raphael “Raph”	https://www.personality-database.com/profile/13074/raphael-raph-teenage-mutant-ninja-turtles-2012-mbti-personality-type	Teenage Mutant Ninja Turtles (2012)	720	144	ISTP
Fiddleford “Old Man” McGucket	https://www.personality-database.com/profile/1234/fiddleford-old-man-mcgucket-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	328	31	ENTP
Mark Grayson “Invincible”	https://www.personality-database.com/profile/292933/mark-grayson-invincible-invincible-2021-mbti-personality-type	Invincible (2021)	563	129	ISFP
Scorpia	https://www.personality-database.com/profile/45605/scorpia-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	758	51	ESFJ
Johnny Bravo	https://www.personality-database.com/profile/2161/johnny-bravo-johnny-bravo-1997-mbti-personality-type	Johnny Bravo (1997)	530	52	ESTP
Bridgette	https://www.personality-database.com/profile/8579/bridgette-total-drama-2007-mbti-personality-type	Total Drama (2007)	638	35	ISFP
Robbie Valentino	https://www.personality-database.com/profile/9654/robbie-valentino-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	597	38	ISFP
